day,month,Open Date,Open Date,Open time,Open Date,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
10,apr,April ,April 10,1681084800000,4/10/2023 0:00:00,0.5053,0.5199,0.5,0.5176,264898196,1681171199999,134434521.2,154033,143896871,72982170.32,0
11,apr,April ,April 11,1681171200000,4/11/2023 0:00:00,0.5176,0.5283,0.511,0.5167,358821527,1681257599999,186152904.5,200576,196281969,101833414.6,0
12,apr,April ,April 12,1681257600000,4/12/2023 0:00:00,0.5166,0.5179,0.4984,0.5049,339100343,1681343999999,171358646.3,186682,165468803,83606262.07,0
13,apr,April ,April 13,1681344000000,4/13/2023 0:00:00,0.5049,0.5156,0.5014,0.5125,273342378,1681430399999,139036177.4,142779,150028631,76317868.32,0
14,apr,April ,April 14,1681430400000,4/14/2023 0:00:00,0.5124,0.5465,0.5111,0.5227,462335443,1681516799999,243064939.3,307971,239258872,125771860,0
15,apr,April ,April 15,1681516800000,4/15/2023 0:00:00,0.5227,0.5261,0.516,0.5192,152508925,1681603199999,79413896.02,105834,72672668,37848445.35,0
16,apr,April ,April 16,1681603200000,4/16/2023 0:00:00,0.5192,0.5244,0.5152,0.5209,157240759,1681689599999,81721324.83,100919,77120853,40083368.09,0
17,apr,April ,April 17,1681689600000,4/17/2023 0:00:00,0.5208,0.521,0.5066,0.5109,299749754,1681775999999,153553932.1,151791,169784999,86969122.37,0
18,apr,April ,April 18,1681776000000,4/18/2023 0:00:00,0.511,0.5391,0.5092,0.5324,358112470,1681862399999,186085470.3,179073,203556287,105733036.8,0
19,apr,April ,April 19,1681862400000,4/19/2023 0:00:00,0.5325,0.5375,0.471,0.4911,620153279,1681948799999,311042377.5,378676,297689655,149352938.6,0
20,apr,April ,April 20,1681948800000,4/20/2023 0:00:00,0.4911,0.4993,0.465,0.4752,454997513,1682035199999,219794190.9,238238,225466342,108946968.5,0
21,apr,April ,April 21,1682035200000,4/21/2023 0:00:00,0.4752,0.4792,0.4403,0.4491,425209825,1682121599999,196405832.5,230036,214479000,99149708.27,0
22,apr,April ,April 22,1682121600000,4/22/2023 0:00:00,0.4491,0.4761,0.4455,0.4719,242021955,1682207999999,111879421.8,150016,122751042,56782117.42,0
23,apr,April ,April 23,1682208000000,4/23/2023 0:00:00,0.472,0.472,0.4526,0.4647,222191297,1682294399999,103079830.6,130715,107544770,49910312.21,0
